"OPERATION";"Unique concatenate(RESRCE)";"Unique count(RESRCE)";"Unique count(WORK_CENTER)";"Unique concatenate(WORK_CENTER)";"Unique concatenate(ROUTER)";"Unique count(ROUTER)";"Mean(ELAPSED_TIME)";"Max(ELAPSED_TIME)";"Min(ELAPSED_TIME)";"Mean(ELAPSED_QUEUE_TIME)";"Max(ELAPSED_QUEUE_TIME)";"Min(ELAPSED_QUEUE_TIME)";"MEANELAPSED_TIME_SECS";"MAXELAPSED_TIME_SECS";"MINELAPSED_TIME_SECS";"MEANQUEUE_TIME_SECS";"MAXQUEUE_TIME_SECS";"MINQUEUE_TIME_SECS"
"A000024";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5597, 5594, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994";1;2197.666605152414;14375;1346;153.3918948844753;6000;0;2.197;14.375;1.346;0.153;6;0
"A000026";"5876, 5875, 5599, 5602, 5600, 5603, 5601, 5604, 5596, 5594, 5597, 5595, 5598, 5593, 5585, 5588, 5587, 5589";18;2;"A130201, A130101";"A13PDR0994, A13PDR0995, A13PDR0992";3;4578.487609229847;22161;3518;275.3618241398147;4000;0;4.578;22.161;3.518;0.275;4;0
"A010500";"3619, 2095, 920";3;3;"A010201, A010103, A010102";"A01PDR0022";1;10285.858744364912;187030764;2;924.2021546008901;118900;0;10.285;187030.764;0.002;0.924;118.9;0
"A010550";"3619";1;1;"A010201";"A01PDR0021";1;17574.714534377676;2620529;5322;888.1636205395989;3000;0;17.574;2620.529;5.322;0.888;3;0
"A010600";"3620, 2095, 920";3;3;"A010201, A010103, A010102";"A01PDR0022, A01PDR0021";2;1795.949537805783;16872;2;4750.43293280864;7765000;194;1.795;16.872;0.002;4.75;7765;0.194
"A010800";"920";1;1;"A010102";"A01PDR0022";1;96861.32695984707;2964336;58582;17697.098046808554;2738000;2000;96.861;2964.336;58.582;17.697;2738;2
"A010900";"3824, 2095";2;2;"A010202, A010103";"A01PDR0022, A01PDR0021";2;5741.5600564305505;22713;197;188654.98216323688;9136000;0;5.741;22.713;0.197;188.654;9136;0
"A010950";"2095";1;1;"A010103";"A01PDR0022";1;1143.977908069875;7057;500;397.9516105091293;5000;0;1.143;7.057;0.5;0.397;5;0
"A011350";"5036, 4376, 4535";3;1;"A010204";"A01PDR0007, A01PDR0024";2;3999.741431964707;9741;3045;1877.502544960977;2222000;0;3.999;9.741;3.045;1.877;2222;0
"A011600";"3625, 108";2;2;"A010205, A010102";"A01PDR0023, A01PDR0025";2;2775.386485240785;418222;2;27684.885640233515;25156000;199;2.775;418.222;0.002;27.684;25156;0.199
"A011800";"3627, 1614, 4536";3;4;"A010205, A010104, A18, A0103";"A01PDR0023, A01PDR0025, A01PDR0007, A01PDR0024";4;2752.725163735443;1788521;2;16058.158635592978;8318000;168;2.752;1788.521;0.002;16.058;8318;0.168
"A011900";"3628, 108, 3862";3;3;"A010205, A010102, A0102";"A01PDR0023, A01PDR0025, A01PDR0024";3;11237.092582580308;1191859269;2;13591.26143601231;8027000;145;11.237;1191859.269;0.002;13.591;8027;0.145
"A012000";"3629, 1489";2;2;"A010205, A010104";"A01PDR0023, A01PDR0025, A01PDR0024";3;4331.7971095749335;239466;2;12725.074536291739;7894000;146;4.331;239.466;0.002;12.725;7894;0.146
"A012200";"3630, 1479";2;2;"A010205, A010104";"A01PDR0023, A01PDR0025, A01PDR0024";3;3387.247371410391;2320955;748;4088.658758882948;1721000;0;3.387;2320.955;0.748;4.088;1721;0
"A012300";"3631, 968";2;2;"A010206, A010105";"A01PDR0023, A01PDR0025, A01PDR0024";3;4033.5253975279597;2753741;2;12787.148117563962;8175000;157;4.033;2753.741;0.002;12.787;8175;0.157
"A012500";"3632, 105, 104, 3760";4;2;"A010206, A010101";"A01PDR0023, A01PDR0025, A01PDR0024";3;4460.17495997781;100904;2;82972.69785533648;7885000;5000;4.46;100.904;0.002;82.972;7885;5
"A012600";"3863, 105, 104, 3864";4;2;"A010206, A010101";"A01PDR0023, A01PDR0025, A01PDR0024";3;4413.963522495594;26189;2;4457.794170219559;7867000;208;4.413;26.189;0.002;4.457;7867;0.208
"A012800";"3946, 104, 105, 3944, 3945, 3947";6;2;"A010207, A010101";"A01PDR0023, A01PDR0025, A01PDR0024, A01PDR0005";4;22670.178972441834;436826;16800;76637.52732867161;1188564000;0;22.67;436.826;16.8;76.637;1188564;0
"A012850";"3865";1;1;"A010207";"A01PDR0024, A01PDR0005, A01PDR0023";3;4.408142178135967;33;2;39983.488117379464;506946;33372;0.004;0.033;0.002;39.983;506.946;33.372
"A012900";"5200";1;1;"A010208";"A01PDR0023, A01PDR0024";2;12881.588137930976;860740;10566;42173.65517241342;2540000;8000;12.881;860.74;10.566;42.173;2540;8
"A013500";"7277, 7278, 7279, 7280";4;1;"A0102";"A01PDR0023, A01PDR0024, A01PDR0005";3;4.436153678553271;4303;2;69607.5445566119;42070433;10750;0.004;4.303;0.002;69.607;42070.433;10.75
"A020100";"3833";1;1;"A02";"A02PRD0001";1;3.5125064296170545;223;2;149182.0036764163;2069321263;2403;0.003;0.223;0.002;149.182;2069321.263;2.403
"A060100";"5506";1;1;"A060103";"A00PDR0001, A06NCR0002, A06NCR0001, A13NCR0005, A13NCR0004, A13NCR0013, A13NCR0009, A13NCR0001, A13NCR0010, A13NCR0006";10;7.789021164021129;3688;2;82771002.8894874;2207424602;0;0.007;3.688;0.002;82771.002;2147483.647;0
"A060150";"5506";1;1;"A060103";"A13NCR0005, A13NCR0004, A13NCR0013, A13NCR0009, A06PDR0001, A13NCR0001, A13NCR0010, A13NCR0006";8;3.9199999999999995;23;2;812.72;1760;142;0.003;0.023;0.002;0.812;1.76;0.142
"A060200";"5070, 5069";2;1;"A0601";"A06PDR0001";1;4.437622742345644;235;2;275708.0790380206;334162184;22886;0.004;0.235;0.002;275.708;334162.184;22.886
"A060250";"7378, 7379, 7383, 7381, 7380, 7382, 5384, 5385, 5378, 5380, 5381, 5383, 5379, 5382, 5377, 5372, 5368, 5376, 5370, 5373, 5374, 5375, 5371, 5369, 5443, 5451, 5444, 5450, 5446, 5449, 5445, 5448, 5447, 7634, 7635, 7636, 5436, 5430, 5435, 5429, 5431, 5433, 5432, 5434, 5437, 7973, 7972, 7977, 7975, 7974, 7976, 7640, 7641, 7642, 7393, 7390, 7395, 7392, 7394, 7391";60;9;"A060401, A060202, A060201, A060102, A060501, A060101, A060602, A060502, A060402";"A00PDR0001, A06PDR0001";2;555951.3183189224;19511987;397143;5044857.583460449;318832000;17000;555.951;19511.987;397.143;5044.857;318832;17
"A060300";"6181";1;1;"A0603";"A06PDR0003";1;2642.611086426671;21945;455;844.2460718180763;10241000;0;2.642;21.945;0.455;0.844;10241;0
"A060350";"6181";1;1;"A0603";"A06PDR0003";1;2247.034290793408;18901;294;14537.612275448893;3942000;7000;2.247;18.901;0.294;14.537;3942;7
"A062100";"5507";1;1;"A060103";"A06PDR0001, A13NCR0004, A13NCR0005, A13NCR0013, A13NCR0009, A13NCR0001, A13NCR0010, A13NCR0006";8;5.451014671602816;323;2;5471380.933120777;228540830;31231;0.005;0.323;0.002;5471.38;228540.83;31.231
"A062200";"5506";1;1;"A060103";"A06NCR0001";1;5.241801000555854;124;3;6335814.655364081;336666468;374537;0.005;0.124;0.003;6335.814;336666.468;374.537
"A06N010";"5506";1;1;"A060103";"A06SPR0001";1;15312.5;17381;13244;0;0;0;15.312;17.381;13.244;0;0;0
"A090100";"6911, 2384";2;2;"A09010101, A090201";"A09PDR0001, A09PDR0006";2;68335.52681500114;1193021645;3314;2031.2735533592886;2340000;0;68.335;1193021.645;3.314;2.031;2340;0
"A090200";"6912, 5175";2;2;"A09010101, A090201";"A09PDR0001, A09PDR0006";2;5540.585733335423;30899362;2707;27000.881904488375;186066000;2000;5.54;30899.362;2.707;27;186066;2
"A090300";"6916";1;1;"A09010102";"A09PDR0001";1;7720.084044475087;352058;6856;13806.20712953281;30533000;5000;7.72;352.058;6.856;13.806;30533;5
"A090400";"6924";1;1;"A09010103";"A09PDR0001";1;7359.359347682413;733165;6468;106253.43421729267;213727000;11000;7.359;733.165;6.468;106.253;213727;11
"A090500";"6929";1;1;"A09010104";"A09PDR0001";1;6476.446460150847;259734;5610;63854.05859467016;213731000;5000;6.476;259.734;5.61;63.854;213731;5
"A090600";"6930";1;1;"A09010104";"A09NCR0006, A09PDR0001";2;7504.2024048095955;309013;4763;21607.80384298029;213612000;2000;7.504;309.013;4.763;21.607;213612;2
"A090700";"7026";1;1;"A09030101";"A09PDR0003";1;4.103571638890478;56;2;4205.200209057135;2170429;1138;0.004;0.056;0.002;4.205;2170.429;1.138
"A090800";"7027";1;1;"A09030101";"A09PDR0003";1;4.066059544142827;134;2;12964.0370457622;5693381;2452;0.004;0.134;0.002;12.964;5693.381;2.452
"A090850";"7028";1;1;"A09030101";"A09PDR0003";1;3.8189877332233717;2341;2;16957.89987777348;5696298;3187;0.003;2.341;0.002;16.957;5696.298;3.187
"A090900";"7029";1;1;"A09030101";"A09PDR0003";1;4195.977954716118;133390;2412;15291.943491006648;5694000;1000;4.195;133.39;2.412;15.291;5694;1
"A091100";"7030";1;1;"A09030101";"A09PDR0003";1;3.8889511149102023;59;2;55466.55002726531;7597532;13477;0.003;0.059;0.002;55.466;7597.532;13.477
"A091200";"6840, 6841";2;1;"A09010105";"A09PDR0001";1;32011.81462071377;213614595;13910;179604.25179132004;213975000;16000;32.011;213614.595;13.91;179.604;213975;16
"A091300";"6963";1;1;"A09010106";"A09PDR0001";1;6874.796957701434;433881;6156;109491.14145502381;213898000;10000;6.874;433.881;6.156;109.491;213898;10
"A091400";"6842, 6843";2;1;"A09010107";"A09PDR0001";1;34618.21516712955;213630801;14350;141776.8439184447;213936000;7000;34.618;213630.801;14.35;141.776;213936;7
"A091500";"6944";1;1;"A09010108";"A09PDR0001";1;5631.2548943881;7000005;3242;122453.93779150788;215183000;12000;5.631;7000.005;3.242;122.453;215183;12
"A091600";"2382, 6970";2;2;"A090202, A09010201";"A09PDR0007, A09PDR0002, A09NCR0002, A09PDR0010";4;1681.102729360457;10348;2;15522.570673397353;214725000;0;1.681;10.348;0.002;15.522;214725;0
"A091700";"6836, 6837";2;1;"A09010202";"A09PDR0002";1;19679.28632148354;2474927;12447;160672.31898703947;214678000;10000;19.679;2474.927;12.447;160.672;214678;10
"A091800";"6986";1;1;"A09010203";"A09PDR0002";1;10308.044480442257;1800677;2109;24932.72203067392;2247000;3000;10.308;1800.677;2.109;24.932;2247;3
"A091900";"6987";1;1;"A09010203";"A09PDR0002";1;4655.954207663178;30053570;3510;3040.8876073837737;2221000;1000;4.655;30053.57;3.51;3.04;2221;1
"A092000";"6997";1;1;"A09010204";"A09PDR0002";1;9828.05670501497;30301792;4358;37431.0175688926;2270000;10000;9.828;30301.792;4.358;37.431;2270;10
"A092100";"6998";1;1;"A09010204";"A09PDR0002";1;9236.570734172543;2055016;6542;36441.781992775024;30338000;6000;9.236;2055.016;6.542;36.441;30338;6
"A092200";"6999";1;1;"A09010204";"A09PDR0002";1;6015.026150689729;2104852;4701;18104.008087535443;30307000;10000;6.015;2104.852;4.701;18.104;30307;10
"A092300";"7004";1;1;"A09010206";"A09PDR0002";1;8981.967261639184;2033252;6412;40438.70295998752;30308000;11000;8.981;2033.252;6.412;40.438;30308;11
"A092400";"7005";1;1;"A09010206";"A09PDR0002, A09NCR0004";2;7067.299095857015;377439;6404;3866.103560063013;30866000;1000;7.067;377.439;6.404;3.866;30866;1
"A092500";"6838, 6839";2;1;"A09010207";"A09PDR0002";1;12997.870617115796;1963096;10640;24408.172017568606;33126000;4000;12.997;1963.096;10.64;24.408;33126;4
"A092600";"6388, 6383, 6385, 6384, 6387, 6386";6;1;"A09010208";"A09PDR0002, A09PDR0010";2;25163.615057960582;34479;19835;73837.79837291806;213435000;7000;25.163;34.479;19.835;73.837;213435;7
"A092700";"7017";1;1;"A09010209";"A09PDR0002, A09PDR0010";2;8023.285582227535;1946558;6587;151241.92634560927;214211000;16000;8.023;1946.558;6.587;151.241;214211;16
"A092900";"6390, 6391, 6392, 6393, 6394, 6389";6;1;"A09010211";"A09PDR0002, A09PDR0010";2;36341.621106487946;30432742;30890;311527.7746542174;221221000;12000;36.341;30432.742;30.89;311.527;221221;12
"A093400";"6975";1;1;"A09010214";"A09PDR0002, A09PDR0010";2;4966.147517003208;2638719;2591;694687.7441148494;221652000;17000;4.966;2638.719;2.591;694.687;221652;17
"A093500";"2382, 6976, 7408";3;2;"A090202, A09010214";"A09PDR0007, A09PDR0002, A09NCR0002, A09NCR0003, A09PDR0010";5;766.9120536784095;318691;2;742856.4195915499;1193836161;41;0.766;318.691;0.002;742.856;1193836.161;0.041
"A094000";"5120, 5950";2;2;"A090401, A090402";"A09PDR0008";1;5.325301204819279;61;3;1283.2971887550202;7873;563;0.005;0.061;0.003;1.283;7.873;0.563
"A09N010";"6944";1;1;"A09010108";"A09NCR0001, A09NCR0006";2;4332.646153846142;6126;3391;313983.0769230771;30039000;2000;4.332;6.126;3.391;313.983;30039;2
"A09N020";"6975";1;1;"A09010214";"A09NCR0003, A09NCR0002";2;5375.841549295774;456456;2722;678758.998435055;214668000;2000;5.375;456.456;2.722;678.758;214668;2
"A09N030";"7055, 7408";2;2;"A0901, A090202";"A09NCR0002, A09NCR0009";2;772.7156224572775;104424;42;1389601.912123668;248615000;14000;0.772;104.424;0.042;1389.601;248615;14
"A09N040";"7234";1;1;"A09010212";"A09NCR0010";1;18129.01269523727;4177713;724;279712.7029314458;214104000;7000;18.129;4177.713;0.724;279.712;214104;7
"A120200";"6562, 6564, 5043, 5045, 5044, 3614, 6173, 5864, 5863";9;2;"A1201, A12";"A00PDR0001";1;9731.869434377297;169810066;385;25662.988609888416;169886000;0;9.731;169810.066;0.385;25.662;169886;0
"A120300";"5302, 6701, 6702, 6700, 5163, 5164, 5165, 5303, 5866, 5293, 5292, 5867, 5871, 5872";14;6;"A1201, A120105, A120103, A12, A1203, A1204";"A00PDR0001";1;35359.090082286704;48253;31319;842294.0666955386;70220000;12000;35.359;48.253;31.319;842.294;70220;12
"A120400";"6699, 6697, 6698, 5170, 5169, 5171, 5167, 5168, 5166, 5292, 5303, 5302, 5869, 5873, 5874";15;7;"A120104, A120102, A120101, A12, A1201, A1203, A1204";"A00PDR0001";1;34257.03201829615;1925981;24620;428006.1211448502;345072000;11000;34.257;1925.981;24.62;428.006;345072;11
"A12N010";"5043";1;1;"A1201";"A12SPR0002";1;2.316666666666665;7;1;1557749.4999999995;15128897;227070;0.002;0.007;0.001;1557.749;15128.897;227.07
"A130100";"5875, 5876";2;1;"A130201";"A00PDR0001, A13SPR0002, A13NCR0005";3;20.742459396751734;273;3;34577922.2157773;107698350;10390;0.02;0.273;0.003;34577.922;107698.35;10.39
"A130200";"5875, 5876";2;1;"A130201";"A13PDR0002";1;5.113689095127612;32;2;867.0881670533639;2324;249;0.005;0.032;0.002;0.867;2.324;0.249
"A130300";"5180";1;1;"A1302";"A13PDR0002";1;4.1591511936339485;14;3;163803.36074270547;5236296;15822;0.004;0.014;0.003;163.803;5236.296;15.822
"A130400";"5180";1;1;"A1302";"A13PDR0002";1;17797.398351648357;60447;16167;39975.27472527475;3634000;0;17.797;60.447;16.167;39.975;3634;0
"A130500";"5180";1;1;"A1302";"A13PDR0002";1;4.176795580110496;14;3;84386.50828729279;5217024;6293;0.004;0.014;0.003;84.386;5217.024;6.293
