,SFC,OPERATION,Unique concatenate(DESCRIPTION),Unique concatenate(ITEM_GROUP),Unique count(DESCRIPTION),ITEM_NO,QTY,ROUTER,STEP_ID,RESRCE,WORK_CENTER,QTY_STARTED,QTY_COMPLETED,QTY_DONE,QTY_SCRAPPED,QTY_NON_CONFORMED,ELAPSED_TIME,ELAPSED_QUEUE_TIME,PREVIOUS_RESOURCE_BO,SFC_DONE,SHOP_ORDER_BO,DATE_TIME,ITEM_DESCRIPTION,ITEM_TYPE,OPERATION_DESCRIPTION,TYPE,SPECIAL_INSTRUCTION,RESOURCE_DESCRIPTION,SETUP_STATE,SETUP_DESCRIPTION,WORKCENTER_DESCRIPTION,WC_CATEGORY,WC_TYPE,SHOP_ORDER,QTY_ORDERED,QTY_RELEASED,QTY_DONE_SO,CUSTOMER,TRANSFER_SITE,PROCESSING_TIME_SECS,WAITING_TIME_SECS,DESCRIPTION,case:concept:name,concept:name,org:resource,time:timestamp
10,84690734,A013500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,120,7278,A0102,1,1,1,0,0,4,13992,"ResourceBO:0001,5200",True,"ShopOrderBO:0001,60840244",11-05-2020 17:12:41,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler abstapeln,N,,0020 Station 5.04 Wagen 2 BWM ZONE,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.004,13.992,Monti2 Ve,A0102,A013500Zähler abstapeln,7278,11-05-2020 17:12:41
0,846373495,A011350,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,10,4535,A010204,1,1,0,0,0,3923,2068,,False,"ShopOrderBO:0001,60840244",28-05-2020 09:51:10,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Ventil verschrauben,N,,Ventilmontage Gaszähler AP 4,S,,Ventilmontage,LEVEL1,ASSEMBLY,60840244,0,111,94,,,3.923,2.068,Monti2 Ve,A010204,A011350Ventil verschrauben,4535,28-05-2020 09:51:10
1,846373495,A011900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,30,3862,A0102,1,1,0,0,0,4,204690,"ResourceBO:0001,4536",False,"ShopOrderBO:0001,60840244",28-05-2020 09:51:15,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Messwerk einsetzen,N,,Station 4.01.01 Ventilm. Handauflagepl.,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.004,204.69,Monti2 Ve,A0102,A011900Messwerk einsetzen,3862,28-05-2020 09:51:15
2,846373495,A012000,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,40,3629,A010205,1,1,0,0,0,9213,94845,"ResourceBO:0001,3862",False,"ShopOrderBO:0001,60840244",28-05-2020 09:54:39,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Oberteil dosieren,N,,Station 3.07 Dosieren Oberteil,S,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,9.213,94.845,Monti2 Ve,A010205,A012000Oberteil dosieren,3629,28-05-2020 09:54:39
3,846373495,A012200,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,50,3630,A010205,1,1,0,0,0,4160,4101,"ResourceBO:0001,3629",False,"ShopOrderBO:0001,60840244",28-05-2020 09:56:22,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Unterteil aufsetzen,N,,Station 3.08 Unterteil aufsetzen,O,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,4.16,4.101,Monti2 Ve,A010205,A012200Unterteil aufsetzen,3630,28-05-2020 09:56:22
4,846373495,A012300,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,60,3631,A010206,1,1,0,0,0,7931,13949,"ResourceBO:0001,3630",False,"ShopOrderBO:0001,60840244",28-05-2020 09:56:30,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Falz auflegen,N,,Station 3.09 Falz auflegen,O,,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,7.931,13.949,Monti2 Ve,A010206,A012300Falz auflegen,3631,28-05-2020 09:56:30
5,846373495,A012500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,70,3760,A010206,1,1,0,0,0,13539,19113,"ResourceBO:0001,3631",False,"ShopOrderBO:0001,60840244",28-05-2020 09:56:50,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler vorbördeln,N,,Station 3.11 Vorbördeln Nr. 2,O, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,13.539,19.113,Monti2 Ve,A010206,A012500Zähler vorbördeln,3760,28-05-2020 09:56:50
6,846373495,A012600,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,80,3864,A010206,1,1,0,0,0,9452,3996,"ResourceBO:0001,3760",False,"ShopOrderBO:0001,60840244",28-05-2020 09:57:22,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler fertigbördeln,N,,Station 3.11 Fertigbördeln Nr. 2,S, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,9.452,3.996,Monti2 Ve,A010206,A012600Zähler fertigbördeln,3864,28-05-2020 09:57:22
7,846373495,A012800,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,90,3946,A010207,1,1,0,0,0,18405,32330,"ResourceBO:0001,3864",False,"ShopOrderBO:0001,60840244",28-05-2020 09:57:34,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler dichtheitsprüfen,N,,Prüfkammer 12,O,,Monti 2 - Heliumprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,18.405,32.33,Monti2 Ve,A010207,A012800Zähler dichtheitsprüfen,3946,28-05-2020 09:57:34
8,846373495,A012850,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,100,3865,A010207,1,1,0,0,0,3,42292,"ResourceBO:0001,3946",False,"ShopOrderBO:0001,60840244",28-05-2020 09:58:24,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Etikett aufbringen (oben),N,,Station 5.07 Etikettierung Nr. 2,O,,Monti 2 - Heliumprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,0.003,42.292,Monti2 Ve,A010207,A012850Etikett aufbringen (oben),3865,28-05-2020 09:58:24
9,846373495,A012900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,110,5200,A010208,1,1,0,0,0,46610,44265,"ResourceBO:0001,3865",False,"ShopOrderBO:0001,60840244",28-05-2020 09:59:06,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,ATEX-Prüfung,N,,Automatische ATEX-Prüfung Monti 2,S,,Atexprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,46.61,44.265,Monti2 Ve,A010208,A012900ATEX-Prüfung,5200,28-05-2020 09:59:06
10,846373495,A013500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,120,7278,A0102,1,1,1,0,0,3,13558,"ResourceBO:0001,5200",True,"ShopOrderBO:0001,60840244",28-05-2020 10:00:36,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler abstapeln,N,,0020 Station 5.04 Wagen 2 BWM ZONE,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.003,13.558,Monti2 Ve,A0102,A013500Zähler abstapeln,7278,28-05-2020 10:00:36
0,846261478,A011350,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,10,4535,A010204,1,1,0,0,0,3849,1960,,False,"ShopOrderBO:0001,60840244",28-05-2020 09:52:10,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Ventil verschrauben,N,,Ventilmontage Gaszähler AP 4,S,,Ventilmontage,LEVEL1,ASSEMBLY,60840244,0,111,94,,,3.849,1.96,Monti2 Ve,A010204,A011350Ventil verschrauben,4535,28-05-2020 09:52:10
1,846261478,A011900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,30,3862,A0102,1,1,0,0,0,3,212301,"ResourceBO:0001,4536",False,"ShopOrderBO:0001,60840244",28-05-2020 09:52:14,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Messwerk einsetzen,N,,Station 4.01.01 Ventilm. Handauflagepl.,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.003,212.301,Monti2 Ve,A0102,A011900Messwerk einsetzen,3862,28-05-2020 09:52:14
2,846261478,A012000,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,40,3629,A010205,1,1,0,0,0,9126,89532,"ResourceBO:0001,3862",False,"ShopOrderBO:0001,60840244",28-05-2020 09:55:46,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Oberteil dosieren,N,,Station 3.07 Dosieren Oberteil,S,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,9.126,89.532,Monti2 Ve,A010205,A012000Oberteil dosieren,3629,28-05-2020 09:55:46
3,846261478,A012200,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,50,3630,A010205,1,1,0,0,0,4220,3883,"ResourceBO:0001,3629",False,"ShopOrderBO:0001,60840244",28-05-2020 09:57:24,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Unterteil aufsetzen,N,,Station 3.08 Unterteil aufsetzen,O,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,4.22,3.883,Monti2 Ve,A010205,A012200Unterteil aufsetzen,3630,28-05-2020 09:57:24
4,846261478,A012300,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,60,3631,A010206,1,1,0,0,0,7511,14699,"ResourceBO:0001,3630",False,"ShopOrderBO:0001,60840244",28-05-2020 09:57:31,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Falz auflegen,N,,Station 3.09 Falz auflegen,O,,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,7.511,14.699,Monti2 Ve,A010206,A012300Falz auflegen,3631,28-05-2020 09:57:31
5,846261478,A012500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,70,3760,A010206,1,1,0,0,0,12913,19549,"ResourceBO:0001,3631",False,"ShopOrderBO:0001,60840244",28-05-2020 09:57:52,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler vorbördeln,N,,Station 3.11 Vorbördeln Nr. 2,O, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,12.913,19.549,Monti2 Ve,A010206,A012500Zähler vorbördeln,3760,28-05-2020 09:57:52
6,846261478,A012600,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,80,3864,A010206,1,1,0,0,0,9370,4106,"ResourceBO:0001,3760",False,"ShopOrderBO:0001,60840244",28-05-2020 09:58:23,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler fertigbördeln,N,,Station 3.11 Fertigbördeln Nr. 2,S, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,9.37,4.106,Monti2 Ve,A010206,A012600Zähler fertigbördeln,3864,28-05-2020 09:58:23
7,846261478,A012800,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,90,3946,A010207,1,1,0,0,0,18297,1297040,"ResourceBO:0001,3864",False,"ShopOrderBO:0001,60840244",28-05-2020 09:58:36,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler dichtheitsprüfen,N,,Prüfkammer 12,O,,Monti 2 - Heliumprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,18.297,1297.04,Monti2 Ve,A010207,A012800Zähler dichtheitsprüfen,3946,28-05-2020 09:58:36
8,846261478,A012850,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,100,3865,A010207,1,1,0,0,0,3,45416,"ResourceBO:0001,3946",False,"ShopOrderBO:0001,60840244",28-05-2020 10:20:31,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Etikett aufbringen (oben),N,,Station 5.07 Etikettierung Nr. 2,O,,Monti 2 - Heliumprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,0.003,45.416,Monti2 Ve,A010207,A012850Etikett aufbringen (oben),3865,28-05-2020 10:20:31
9,846261478,A012900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,110,5200,A010208,1,1,0,0,0,46537,42577,"ResourceBO:0001,3865",False,"ShopOrderBO:0001,60840244",28-05-2020 10:21:16,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,ATEX-Prüfung,N,,Automatische ATEX-Prüfung Monti 2,S,,Atexprüfung,LEVEL1,ASSEMBLY,60840244,0,111,94,,,46.537,42.577,Monti2 Ve,A010208,A012900ATEX-Prüfung,5200,28-05-2020 10:21:16
10,846261478,A013500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,120,7278,A0102,1,1,1,0,0,4,13469,"ResourceBO:0001,5200",True,"ShopOrderBO:0001,60840244",28-05-2020 10:22:44,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler abstapeln,N,,0020 Station 5.04 Wagen 2 BWM ZONE,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.004,13.469,Monti2 Ve,A0102,A013500Zähler abstapeln,7278,28-05-2020 10:22:44
0,846325380,A011350,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,10,4535,A010204,1,1,0,0,0,4185,1915,,False,"ShopOrderBO:0001,60840244",28-05-2020 09:54:10,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Ventil verschrauben,N,,Ventilmontage Gaszähler AP 4,S,,Ventilmontage,LEVEL1,ASSEMBLY,60840244,0,111,94,,,4.185,1.915,Monti2 Ve,A010204,A011350Ventil verschrauben,4535,28-05-2020 09:54:10
1,846325380,A011900,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,30,3862,A0102,1,1,0,0,0,4,212652,"ResourceBO:0001,4536",False,"ShopOrderBO:0001,60840244",28-05-2020 09:54:15,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Messwerk einsetzen,N,,Station 4.01.01 Ventilm. Handauflagepl.,O,,Monti 2,LEVEL3,ASSEMBLY,60840244,0,111,94,,,0.004,212.652,Monti2 Ve,A0102,A011900Messwerk einsetzen,3862,28-05-2020 09:54:15
2,846325380,A012000,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,40,3629,A010205,1,1,0,0,0,8772,88582,"ResourceBO:0001,3862",False,"ShopOrderBO:0001,60840244",28-05-2020 09:57:47,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Oberteil dosieren,N,,Station 3.07 Dosieren Oberteil,S,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,8.772,88.582,Monti2 Ve,A010205,A012000Oberteil dosieren,3629,28-05-2020 09:57:47
3,846325380,A012200,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,50,3630,A010205,1,1,0,0,0,4092,4134,"ResourceBO:0001,3629",False,"ShopOrderBO:0001,60840244",28-05-2020 09:59:23,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Unterteil aufsetzen,N,,Station 3.08 Unterteil aufsetzen,O,,Zähler montieren,LEVEL1,ASSEMBLY,60840244,0,111,94,,,4.092,4.134,Monti2 Ve,A010205,A012200Unterteil aufsetzen,3630,28-05-2020 09:59:23
4,846325380,A012300,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,60,3631,A010206,1,1,0,0,0,8137,13882,"ResourceBO:0001,3630",False,"ShopOrderBO:0001,60840244",28-05-2020 09:59:31,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Falz auflegen,N,,Station 3.09 Falz auflegen,O,,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,8.137,13.882,Monti2 Ve,A010206,A012300Falz auflegen,3631,28-05-2020 09:59:31
5,846325380,A012500,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,70,3760,A010206,1,1,0,0,0,13756,18993,"ResourceBO:0001,3631",False,"ShopOrderBO:0001,60840244",28-05-2020 09:59:52,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler vorbördeln,N,,Station 3.11 Vorbördeln Nr. 2,O, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,13.756,18.993,Monti2 Ve,A010206,A012500Zähler vorbördeln,3760,28-05-2020 09:59:52
6,846325380,A012600,"ATEX-Zähler für Serienaufträge, Aufträge Monti2, Rüstintervall Stutzen 1BS746","A01PP000200, A01PP000100, A01PP000400",3,80001567,1,A01PDR0024,80,3864,A010206,1,1,0,0,0,9872,4180,"ResourceBO:0001,3760",False,"ShopOrderBO:0001,60840244",28-05-2020 10:00:23,"BK V2 EI5 Ve A152,4 1''BS o.RS unr",M,Zähler fertigbördeln,N,,Station 3.11 Fertigbördeln Nr. 2,S, ,Zähler verschließen,LEVEL1,ASSEMBLY,60840244,0,111,94,,,9.872,4.18,Monti2 Ve,A010206,A012600Zähler fertigbördeln,3864,28-05-2020 10:00:23
